# ---
# experiment_id: MOF Synthesis_Aditya_and_Hardik 2_20250724_172122
# experiment_name: MOF Synthesis
# operator_name: Aditya_and_Hardik 2
# target_compound: MOF
# project_id: MOF_Phase1
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: 
# created_at: 2025-07-24T17:21:22.822428
# instrument_serial: 2
# measurement_timestamp: 2025-07-24T17:48:36.885505
# well_id: A2
# slot: Well A2 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 1000
# scans_averaged: 1
# boxcar_width: 0
# dark_id: dark_20250724_174304
# white_id: white_20250724_174309
# wavelength_unit: nm
# absorbance_unit: AU
# ---
wavelength_nm,0 min,15 min
366.7,9.0,9.0
367.2,9.0,9.0
367.7,9.0,9.0
368.2,-0.0,-0.0
368.7,9.0,9.0
369.2,9.0,9.0
369.8,9.0,9.0
370.3,-0.0,-0.0
370.8,9.0,9.0
371.3,-0.0,-0.0
371.8,9.0,9.0
372.3,9.0,9.0
372.8,-0.0,-0.0
373.3,9.0,9.0
373.8,9.0,9.0
374.3,9.0,9.0
374.8,-0.0,-0.0
375.4,9.0,9.0
375.9,-0.0,-0.0
376.4,9.0,9.0
376.9,-0.0,-0.0
377.4,-0.0,-0.0
377.9,-0.0,-0.0
378.4,-0.0,-0.0
378.9,9.0,9.0
379.4,-0.0,-0.0
379.9,9.0,9.0
380.4,-0.0,-0.0
380.9,9.0,9.0
381.5,-0.0,-0.0
382.0,9.0,9.0
382.5,9.0,9.0
383.0,9.0,9.0
383.5,-0.0,-0.0
384.0,-0.0,-0.0
384.5,9.0,9.0
385.0,-0.0,-0.0
385.5,-0.0,-0.0
386.0,-0.0,-0.0
386.5,-0.0,-0.0
387.0,9.0,9.0
387.5,-0.0,-0.0
388.0,-0.0,-0.0
388.5,-0.0,-0.0
389.1,-0.0,-0.0
389.6,9.0,9.0
390.1,9.0,9.0
390.6,-0.0,-0.0
391.1,-0.0,-0.0
391.6,9.0,9.0
392.1,9.0,9.0
392.6,-0.0,-0.0
393.1,-0.0,-0.0
393.6,9.0,9.0
394.1,-0.0,-0.0
394.6,9.0,9.0
395.1,9.0,9.0
395.6,-0.0,-0.0
396.1,9.0,9.0
396.6,9.0,9.0
397.1,-0.0,-0.0
397.6,-0.0,-0.0
398.1,9.0,9.0
398.6,-0.0,-0.0
399.1,-0.0,-0.0
399.6,-0.0,-0.0
400.1,9.0,9.0
400.7,9.0,9.0
401.2,9.0,9.0
401.7,9.0,9.0
402.2,9.0,9.0
402.7,-0.0,-0.0
403.2,9.0,9.0
403.7,-0.0,-0.0
404.2,9.0,9.0
404.7,-0.0,-0.0
405.2,-0.0,-0.0
405.7,9.0,9.0
406.2,-0.0,-0.0
406.7,-0.0,-0.0
407.2,9.0,9.0
407.7,-0.0,-0.0
408.2,-0.0,-0.0
408.7,9.0,9.0
409.2,-0.0,-0.0
409.7,-0.0,-0.0
410.2,-0.0,-0.0
410.7,9.0,9.0
411.2,-0.0,-0.0
411.7,9.0,9.0
412.2,-0.0,-0.0
412.7,-0.0,-0.0
413.2,-0.0,-0.0
413.7,-0.0,-0.0
414.2,-0.0,-0.0
414.7,9.0,9.0
415.2,9.0,9.0
415.7,-0.0,-0.0
416.2,-0.0,-0.0
416.7,9.0,9.0
417.2,-0.0,-0.0
417.7,9.0,9.0
418.2,9.0,9.0
418.7,9.0,9.0
419.2,-0.0,-0.0
419.7,-0.0,-0.0
420.2,-0.0,-0.0
420.7,-0.0,-0.0
421.2,-0.0,-0.0
421.7,-0.0,-0.0
422.2,-0.0,-0.0
422.7,-0.0,-0.0
423.2,-0.0,-0.0
423.7,-0.0,-0.0
424.2,-0.0,-0.0
424.7,-0.0,-0.0
425.2,-0.0,-0.0
425.7,-0.0,-0.0
426.2,-0.0,-0.0
426.7,-0.0,-0.0
427.2,-0.0,-0.0
427.7,-0.0,-0.0
428.2,-0.0,-0.0
428.7,-0.0,-0.0
429.1,-0.0,-0.0
429.6,-0.0,-0.0
430.1,-0.0,-0.0
430.6,-0.0,-0.0
431.1,-0.0,-0.0
431.6,-0.0,-0.0
432.1,-0.0,-0.0
432.6,-0.0,-0.0
433.1,-0.0,-0.0
433.6,9.0,9.0
434.1,-0.0,-0.0
434.6,-0.0,-0.0
435.1,-0.0,-0.0
435.6,-0.0,-0.0
436.1,-0.0,-0.0
436.6,-0.0,-0.0
437.1,-0.0,-0.0
437.6,-0.0,-0.0
438.1,-0.0,-0.0
438.6,-0.0,-0.0
439.1,-0.0,-0.0
439.6,-0.0,-0.0
440.1,-0.0,-0.0
440.5,-0.0,-0.0
441.0,-0.0,-0.0
441.5,-0.0,-0.0
442.0,-0.0,-0.0
442.5,-0.0,-0.0
443.0,-0.0,-0.0
443.5,-0.0,-0.0
444.0,-0.0,-0.0
444.5,-0.0,-0.0
445.0,-0.0,-0.0
445.5,-0.0,-0.0
446.0,-0.0,-0.0
446.5,-0.0,-0.0
447.0,-0.0,-0.0
447.5,-0.0,-0.0
447.9,-0.0,-0.0
448.4,-0.0,-0.0
448.9,-0.0,-0.0
449.4,-0.0,-0.0
449.9,-0.0,-0.0
450.4,-0.0,-0.0
450.9,-0.0,-0.0
451.4,-0.0,-0.0
451.9,-0.0,-0.0
452.4,-0.0,-0.0
452.9,-0.0,-0.0
453.4,-0.0,-0.0
453.8,-0.0,-0.0
454.3,-0.0,-0.0
454.8,-0.0,-0.0
455.3,-0.0,-0.0
455.8,-0.0,-0.0
456.3,-0.0,-0.0
456.8,-0.0,-0.0
457.3,-0.0,-0.0
457.8,-0.0,-0.0
458.3,-0.0,-0.0
458.8,-0.0,-0.0
459.2,-0.0,-0.0
459.7,-0.0,-0.0
460.2,-0.0,-0.0
460.7,-0.0,-0.0
461.2,-0.0,-0.0
461.7,-0.0,-0.0
462.2,-0.0,-0.0
462.7,-0.0,-0.0
463.2,-0.0,-0.0
463.7,-0.0,-0.0
464.1,-0.0,-0.0
464.6,-0.0,-0.0
465.1,-0.0,-0.0
465.6,-0.0,-0.0
466.1,-0.0,-0.0
466.6,-0.0,-0.0
467.1,-0.0,-0.0
467.6,-0.0,-0.0
468.0,-0.0,-0.0
468.5,-0.0,-0.0
469.0,-0.0,-0.0
469.5,-0.0,-0.0
470.0,-0.0,-0.0
470.5,-0.0,-0.0
471.0,-0.0,-0.0
471.5,-0.0,-0.0
472.0,-0.0,-0.0
472.4,-0.0,-0.0
472.9,-0.0,-0.0
473.4,-0.0,-0.0
473.9,-0.0,-0.0
474.4,-0.0,-0.0
474.9,-0.0,-0.0
475.4,-0.0,-0.0
475.8,-0.0,-0.0
476.3,-0.0,-0.0
476.8,-0.0,-0.0
477.3,-0.0,-0.0
477.8,-0.0,-0.0
478.3,-0.0,-0.0
478.8,-0.0,-0.0
479.2,-0.0,-0.0
479.7,-0.0,-0.0
480.2,-0.0,-0.0
480.7,-0.0,-0.0
481.2,-0.0,-0.0
481.7,-0.0,-0.0
482.2,-0.0,-0.0
482.6,-0.0,-0.0
483.1,-0.0,-0.0
483.6,-0.0,-0.0
484.1,-0.0,-0.0
