# ---
# experiment_id: ZIF-67 Synthesis - 5 identical vials_Shuan_20250728_192744
# experiment_name: ZIF-67 Synthesis - 5 identical vials
# operator_name: Shuan
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of 5 identical vials of MOF
# created_at: 2025-07-28T19:27:44.279184
# instrument_serial: 2
# measurement_timestamp: 2025-07-28T20:00:47.041227
# well_id: A3
# slot: Well A3 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250728_192915
# white_id: white_20250728_192926
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,20 min,40 min,60 min,80 min,100 min,120 min,140 min,160 min,180 min,200 min,220 min
214.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
214.8,9.0,9.0,1.3320948148821476,0.8949888207254653,0.8172533059825888,0.8346901146912263,0.810863856113397,0.758973566061905,0.7824337471002313,0.8098447655435431,0.7626118151268458,0.7123942391732354
215.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.9824506448813684
215.9,9.0,9.0,9.0,1.2084390388173232,1.036433207477343,1.071480023000412,1.021832049575289,0.919463875235474,0.9612856948181828,1.0181521322415676,0.9239799075238992,0.8355691704641616
216.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
217.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
217.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.7186121989277947
218.1,9.0,9.0,2.013711689636576,0.79156001472449,0.6856319561890644,0.7068362125819133,0.6768009754947725,0.6018283487574567,0.6286513674731624,0.6766212722756818,0.6060960906802355,0.5423869388881862
218.6,9.0,9.0,1.1710938809716849,0.6762159143326992,0.5959205821014033,0.6117566903592917,0.5882142741883766,0.5281797599283327,0.5496072404058419,0.5893072597095834,0.5339196201915798,0.48223135267424044
219.2,9.0,9.0,9.0,1.491423255242028,1.0434644945187566,1.1191832544440286,1.0120653634763084,0.8250467456084248,0.8907082697819511,1.0202530168815762,0.8440645510513688,0.7168964392489245
219.7,9.0,9.0,9.0,1.5477664470464494,1.0609319281853369,1.1288578946684875,1.0210753559788348,0.8293460537867475,0.8966079723408954,1.0259243482912346,0.849654389105635,0.7221977614136899
220.2,9.0,9.0,2.57911883432122,0.5869486699618343,0.4705626628217516,0.4922853536867829,0.4581368586361223,0.3774931792621629,0.4094513833038899,0.4600529223639667,0.3874190612856654,0.32482676362246565
220.8,9.0,9.0,9.0,9.0,1.631790180100783,2.411553333183213,1.413786507708939,0.8935714573267202,1.036128381343369,1.4556036580884864,0.9286397562943276,0.695945366592745
221.3,9.0,9.0,2.3527270885407536,0.5292452741465652,0.4106052694190226,0.4298139454066056,0.3961764337549013,0.3171727257721783,0.3479184343358993,0.399676740745267,0.3255560246541271,0.26360407628690824
221.9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0520788516897384,1.3476511082428446,9.0,1.125994985068714,0.7877907501783348
222.4,9.0,9.0,9.0,0.7943511092904242,0.6380802549097842,0.6941311527284295,0.6411328500941198,0.517545393058887,0.5733322077210331,0.6716485589470195,0.5475320812513546,0.45775981209743044
223.0,9.0,9.0,9.0,0.9481867644053504,0.7697342560974916,0.8706347839206349,0.8067743980140015,0.638224718485449,0.7162771828123391,0.8756122509355485,0.6885628638012162,0.5707192218769069
223.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
224.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
224.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
225.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
225.7,9.0,9.0,9.0,0.5687713889893761,0.4417542551166489,0.5850015359005325,0.5056930264912438,0.349922841838423,0.4413884990025832,0.6288691262860534,0.4205126312214883,0.28716331117894567
226.2,9.0,0.8813721297275896,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
226.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
227.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
227.8,-0.0,-0.0,0.2257027127853302,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
228.4,-0.0,-0.0,-0.0,0.2812674058989732,0.4206641626610372,0.2924242385918886,0.3619197914264244,0.5932746734342367,0.4134935056005588,0.2481222572716146,0.4301666686505728,0.7717030189951115
228.9,0.1579433215666996,0.6618952393828041,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
229.5,0.2595692616008601,0.5630707299996167,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
230.0,0.0900051163024737,0.3130992724250431,1.8549311331554013,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
230.5,-0.0,-0.0,0.2087491269213229,0.5478398521027996,0.7264364177617435,0.5697119067699458,0.6488527187291541,1.01942338145486,0.7223964462791351,0.5288523725905997,0.7378929585057433,1.2966422261377681
231.1,0.2998827215156753,0.4795815517333863,1.05849675611493,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
231.6,0.0425513320524321,0.1697624123719647,0.4664581859981504,0.8407596314687213,1.033201157038187,0.8575429953224041,0.951484822347462,1.3793395168656315,1.055170137447686,0.8107686911300315,1.0623999637206325,1.9474669032618863
232.2,0.0472615086009382,0.2247371978768873,0.8186842468799472,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
232.7,0.2484451125000492,0.6823173845439179,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
233.2,0.4096880403003551,0.8530156464334362,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
233.8,0.2893206575650561,0.5173843878315277,2.4022444912617216,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
234.3,-0.0,-0.0,0.1317188346274784,0.3454938323409655,0.4245377899752481,0.3551269071116268,0.4031426209998499,0.5239518255432991,0.4398365868102939,0.3436951710866217,0.4438008289891395,0.5873961105591821
234.9,-0.0,0.0625386013817755,0.3288121741223265,0.614597858098407,0.7364115692252732,0.6326723875438218,0.7101790568507793,0.9274238343370818,0.7694290560511263,0.6219642700290033,0.7674882917692906,1.0623999280847645
235.4,-0.0,0.1239574776438647,0.5415695887191544,1.5975785312387147,9.0,1.93493562364849,9.0,9.0,9.0,1.8049268393349576,9.0,9.0
235.9,0.0138979834325098,0.180036117648521,0.7415150909492916,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
236.5,0.2561769984364909,0.4922464759943407,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
237.0,0.0218505260481402,0.1629851495421603,0.5648396594095921,1.3861739749496282,9.0,1.6340086329093575,9.0,9.0,9.0,1.6293761958537696,9.0,9.0
237.6,-0.0,0.1008515430710824,0.507798060645063,1.3297101179561035,9.0,1.6477728079544092,9.0,9.0,9.0,1.686899662142068,9.0,9.0
