# ---
# experiment_id: ZIF-67 Synthesis - 5 identical vials_Shuan_20250728_192744
# experiment_name: ZIF-67 Synthesis - 5 identical vials
# operator_name: Shuan
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of 5 identical vials of MOF
# created_at: 2025-07-28T19:27:44.279184
# instrument_serial: 2
# measurement_timestamp: 2025-07-28T19:51:20.814612
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250728_192915
# white_id: white_20250728_192926
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,20 min,40 min,60 min,80 min,100 min,120 min,140 min,160 min,180 min,200 min,220 min,240 min
213.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.868756924782007,9.0,9.0,9.0,9.0,9.0
214.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
214.8,9.0,9.0,1.1095050221267286,0.8398805433962073,0.7882076813978866,0.8167361355897012,0.7540842636548821,0.6975409296033105,0.7800503506693389,0.7753894407638405,0.8078130313728472,0.7496295542341987,0.7282556183798515
215.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.7594966627431088,9.0,9.0,9.0,9.0,2.703075106141117
215.9,9.0,9.0,3.111843282360996,1.0754815281466947,0.9748506451096548,1.024113050014488,0.9101305450106087,0.8142513143908822,0.954293458978317,0.950537357107334,1.0108832034304152,0.9029360895454104,0.8634818071385583
216.4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
217.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
217.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.5127784025612434,9.0,9.0,9.0,9.0,2.207563275378793
218.1,9.0,9.0,1.154311286201309,0.7073184587292574,0.6414208053574546,0.6724965957155455,0.5979027031193918,0.5229864503451734,0.6243970591839239,0.6216102421817431,0.6620928012768034,0.5923771703304869,0.563249602755394
218.6,9.0,9.0,0.9003060647653294,0.6129095500213602,0.5617560849077469,0.5838713226329761,0.5272304580894495,0.4646390689919283,0.5476151049732059,0.5456319972623338,0.5774373524911857,0.522515202098246,0.49967563584101266
219.2,9.0,9.0,9.0,1.1128172533112122,0.9275816089231738,1.000765364659822,0.8281590913530654,0.6776277934927576,0.8887290117542631,0.8751192774072477,0.9733016912433972,0.8125153187340981,0.7590052611963688
219.7,9.0,9.0,9.0,1.1257766381969103,0.937568927316592,1.0059174419824115,0.8330822141469381,0.6788914417934585,0.8897852384798185,0.8795736188334977,0.9797238436129316,0.8189325475683725,0.7638593466638183
220.2,9.0,9.0,0.970377225122318,0.4938851825583094,0.424303247909703,0.4526120582006615,0.379518271297197,0.2992610826483375,0.4056624371087296,0.4014484480106121,0.4419363269276276,0.3701953710219617,0.3460454149377561
220.8,9.0,9.0,9.0,9.0,1.1247816145741034,1.368410425739219,0.8984111296466422,0.6256259736847319,1.0245889250553974,0.997777153510121,1.2608286878045645,0.8588991065911483,0.7725466065443568
221.3,9.0,9.0,0.8919787302579115,0.4347736119068214,0.3627236838808139,0.3922110475034943,0.3185587458807222,0.2386474215698906,0.3462137776533961,0.3414318440530398,0.3778139941298251,0.3077283447507813,0.2854274175566807
221.9,9.0,9.0,9.0,9.0,1.402276900991489,9.0,1.0540827270386477,0.6863890547402682,1.3407955242882863,1.2818314064951737,9.0,1.031578709455529,0.8945339099153454
222.4,9.0,9.0,1.456913053548892,0.6453846362248091,0.560059224106622,0.6411327997367203,0.519746048275179,0.4235644857190469,0.5724594804224322,0.5743316821402156,0.6478956639278335,0.5325069956294142,0.49238645062084574
223.0,9.0,9.0,2.102114376355656,0.7608036051015679,0.6696188584377514,0.7966396155576861,0.638804756237219,0.5322798343636712,0.7150647707223243,0.7261000533220063,0.8345609286185703,0.6779540195743968,0.6161873615159327
