# ---
# experiment_id: ZIF-67 Synthesis_Aditya_and_Hardik_20250725_221848
# experiment_name: ZIF-67 Synthesis
# operator_name: Aditya_and_Hardik
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of a single vial of MOF - First run
# created_at: 2025-07-25T22:18:48.445755
# instrument_serial: 2
# measurement_timestamp: 2025-07-25T22:33:38.832838
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250725_222000
# white_id: white_20250725_222004
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,15 min,30 min,45 min,60 min,75 min,90 min,105 min,120 min,135 min,150 min,165 min,180 min
226.2,0.3269758676408326,0.2515876572954039,0.1064982189034062,0.0174698231082932,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
226.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
227.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
227.8,-0.0,-0.0,0.439060410502054,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
228.4,-0.0,-0.0,-0.0,-0.0,0.7198870920957734,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
228.9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
229.5,0.9629256195369766,2.5763076707950847,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
230.0,9.0,9.0,9.0,0.357183544799664,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
230.5,-0.0,-0.0,0.0422414187420879,0.1358238054454865,0.3683351789109773,0.5069691972196593,0.4830741816140889,0.6376388347663647,0.8334890898340562,0.7284341488475724,0.4828925842453259,0.6329967297752758,0.3893362441236087
231.1,0.2728217019673317,0.3480363585607584,0.6146626980069927,1.2520581785595115,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
231.6,-0.0,-0.0,0.0422414190136799,0.1410810768812792,0.3888973382325899,0.5388144756913743,0.5131541832247598,0.6905124674782552,0.9358258491235324,0.7886688345253136,0.5098574495524892,0.6899272127139854,0.41341137631546926
232.2,0.2518456690183937,0.3396006372684407,0.6107457027334947,1.2520581785595115,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
232.7,0.4132546534845603,1.339194644975103,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
233.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
233.8,0.0875747500560247,0.1565599661955107,0.3345395306718629,0.598965313711632,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
234.3,-0.0,-0.0,-0.0,-0.0,-0.0,0.0770792537641688,0.0689399628486956,0.1856005802947304,0.3278562014881491,0.2263509597002489,0.0608267451366242,0.1959414367498597,0.00356191507071655
234.9,-0.0,0.0104188889903115,0.0951151094206692,0.1873793235767879,0.3897080543646722,0.4879640074487643,0.4819022180940456,0.6032191635656965,0.7502103066512912,0.6384375365436171,0.4777832909164768,0.6109148998393098,0.41853537816016667
235.4,0.1109435610310224,0.1640823625328227,0.2943016046989775,0.4584672951862439,1.0068339028736244,1.758901496335115,1.7224995932286804,9.0,9.0,9.0,1.6269014879897954,9.0,1.1411125399579418
235.9,0.0245704458229279,0.091759594900004,0.2694769368511526,0.5194285011527832,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
236.5,0.6573661767345944,0.925487165992708,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
237.0,0.1073413865138615,0.1556341973140889,0.2585349633160671,0.380540230357387,0.6721801172728615,0.8458258468069321,0.8493874645757127,1.0968623693257509,1.6860725610173384,1.209976617153511,0.8316497772076846,1.1088824218411126,0.736632145098727
237.6,0.0990016504209805,0.1484548716469901,0.2512567495218728,0.3781169589143015,0.6769624859308288,0.8458258468069321,0.8602510474749356,1.1229196937403465,1.8303623887462817,1.253064627730714,0.8420733434889897,1.149747262016397,0.7449875666245327
238.1,-0.0,-0.0,0.0515068213478231,0.1830609631370759,0.487906164545014,0.6567695254211172,0.6748771596107979,0.9406295336811348,1.6769603311946837,1.0550419159764264,0.6530170221031749,0.9678918380383548,0.5531282055627819
238.6,0.4052321706865085,0.5987493869789594,2.2163930556664275,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
239.2,0.0110853965687953,0.0801006726433346,0.2376718667751577,0.4956385645727856,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
239.7,0.9850144342911556,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
240.3,-0.0,-0.0,0.0108002836253528,0.1302076587605272,0.3569007948047466,0.4603726643644205,0.4719835580539011,0.5953316544083455,0.7692300720256193,0.6471564230274002,0.4602533343671763,0.6136239706963645,0.40320198803357643
